dato,portefolje,osebx,portefolje_kumulativ,osebx_kumulativ
2026-07-21,0.0,0.0,0.0,0.0
2026-07-22,0.004946042760219549,0.01576846290078726,0.49460427602194823,1.5768462900787261
2026-07-23,-0.006597746484966338,0.008036544636390364,-0.16843364609826494,2.3931731493127106
2026-07-24,-0.0008195022519906558,-0.005281917172745065,-0.2502458395450491,1.8523408896834903
2026-07-27,0.002623043070086384,-0.00817424095291619,0.011402061848353462,1.0197753136326648
2026-07-28,0.004158159851208343,0.0028124751896774214,0.427265458564996,1.3038909253690445
2026-07-29,-0.005452484846088223,0.004928126144378542,-0.12031268448190469,1.803129278765625
2026-07-30,0.010752240775578126,0.0038872132057083952,0.953617762124015,2.1988597472804905
2026-07-31,0.0035957308231468034,0.0018467258733179115,1.3166197972194649,2.387593025799384
2026-08-03,0.006076760335839537,0.0025024027482032363,1.9322966137645503,2.643808019969063
2026-08-04,-0.00046392026885188064,-0.0020364460549959773,1.8850081553148046,2.4347794420570334
2026-08-05,9.100964395523104e-05,-0.0027984132751864843,1.8942806736313988,2.148124595425571
2026-08-06,0.0025185996941275548,0.0032979768629295414,2.1509115777693433,2.4850067469329273
2026-08-07,0.007053486535689557,0.0029653417001855864,2.8714316571915477,2.7889098110834176
2026-08-10,-0.004560268434904646,0.007171816922547647,2.402310314551803,3.526093053916779
2026-08-11,0.0020497526149165666,0.006268029198477576,2.612209717892555,4.174997627983035
2026-08-12,0.004802772915664255,0.0042272873520960985,3.1050328595421117,4.615375277860445
2026-08-13,0.008948688069620703,0.002099951088757601,4.027687637010158,4.835062449075966
2026-08-14,0.013562656302332632,0.009446755045431354,5.438579410357325,5.8254136042048765
2026-08-17,0.0058426814598969146,0.0020519450756186774,6.05462344343608,6.0425615405253374
2026-08-18,-0.013138679571350242,-0.00410027552431147,4.661205728952567,5.607757820905435
2026-08-19,-0.005108663206608721,-0.00042282286396166935,4.126526878085768,5.563104446287026
2026-08-20,0.0011669044067592837,-0.002282918568707659,4.2480325811603326,5.322112474976182
2026-08-21,0.010965231044147428,0.00850714715144174,5.391136344310565,6.218103184101498
2026-08-24,-0.001396059964204166,-0.0022640596764849086,5.2440039982782904,5.977619059769657
2026-08-25,0.00823736514897111,0.004380374733706782,6.11093728895189,6.441840744637473
2026-08-26,0.004123312718979133,-0.0017112035364019729,6.548465866298203,6.259697090334115
2026-08-27,0.003797977750658077,-0.002215380440446335,6.9531345690251545,6.024291435792439
2026-08-28,0.0002104798801068508,0.004828347677950262,6.9756460519663,6.536213577152772
2026-08-31,-0.004871538813999754,0.008695863474257548,6.454510040071448,7.46263794548403
2026-09-01,-0.010728689390392687,-0.0027524905832663205,5.312392667645072,7.1668480464861295
2026-09-02,0.006936669304427279,-0.0030961988807313157,6.042909909238525,6.835038171513097
2026-09-03,0.0026539442756727816,-2.852137207276506e-05,6.324341882967843,6.831991089638989
2026-09-04,0.003555245301858301,-0.0009735804560419004,6.702350999920448,6.727981551034068
2026-09-07,-0.000464982262267688,-0.0026429622903491046,6.652736299363227,6.445903520469609
2026-09-08,-0.0030550372636415244,0.0038940176489856704,6.326908215699345,6.860405747440534
2026-09-09,0.0024578727333085747,0.00706002984296461,6.588246224219718,7.614843401048765
2026-09-10,-0.007765309770832096,-0.006397625616837432,5.760555474358919,6.926363922154266
2026-09-11,0.00010202636188038073,0.0014234605010563506,5.771345839064401,7.078569377719024
2026-09-14,-0.013652816836371106,-0.0002748481972688621,4.327269027787195,7.049139025959428
2026-09-15,0.002350110126921612,0.0014692684760104768,4.572449599243478,7.2064229513143285
2026-09-16,0.0065853718476600485,0.004907514580430927,5.26109806487518,7.73254003506374
2026-09-17,0.0,0.006178737989891214,5.26109806487518,8.398191172925863
2026-09-18,0.0007367847894963475,-0.008995797085898816,5.338652840855063,7.423063040655742
